"","filename","ATTRIBUTE_CollectionNumber","ATTRIBUTE_Family","ATTRIBUTE_Genus","ATTRIBUTE_Species","ATTRIBUTE_Genus_species","ATTRIBUTE_SpeciesCode","ATTRIBUTE_Latitude","ATTRIBUTE_Longitude"
"1945","MD02018.mzXML","LC-6111","Lauraceae","Ocotea","oblonga","Ocotea_oblonga","ocoobl",-14.1892,-68.3339
"1946","MD02019.mzXML","LC-6212","Euphorbiaceae","Mabea","anadena","Mabea_anadena","mabana",-14.1892,-68.3339
"1947","MD02020.mzXML","LC-6112","Lauraceae","Ocotea","AEC-147","Ocotea_AEC-147","ocoAEC147",-14.1892,-68.3339
"1948","MD02021.mzXML","LC-6113","Lauraceae","Ocotea","AEC-147","Ocotea_AEC-147","ocoAEC147",-14.1892,-68.3339
"1949","MD02022.mzXML","LC-6114","Elaeocarpaceae","Sloanea","pubescens","Sloanea_pubescens","slopub",-14.1892,-68.3339
"1950","MD02023.mzXML","LC-6068","Lauraceae","Ocotea","subrutilans","Ocotea_subrutilans","ocosub",-14.1892,-68.3339
"1951","MD02024.mzXML","LC-6069","Lauraceae","Ocotea","LC-6203","Ocotea_LC-6203","ocoLC6203",-14.1892,-68.3339
"1952","MD02025.mzXML","LC-6070","Monimiaceae","Mollinedia","ovata","Mollinedia_ovata","molova",-14.1892,-68.3339
"1953","MD02026.mzXML","LC-6139","Sapotaceae","Pouteria","baehniana","Pouteria_baehniana","pou3bae",-14.1892,-68.3339
"1954","MD02027.mzXML","LC-6107","Matayba","Arboresceus",NA,"Arboresceus_NA",NA,-14.1892,-68.3339
"1955","MD02028.mzXML","LC-6140","Fabaceae","Inga","alba","Inga_alba","ingalb",-14.1892,-68.3339
"1956","MD02029.mzXML","LC-5987","Lauraceae","Ocotea","AEC-147","Ocotea_AEC-147","ocoAEC147",-14.1892,-68.3339
"1957","MD02030.mzXML","LC-6141","Lauraceae","Persea","areolatocostae","Persea_areolatocostae","per6are",-14.1892,-68.3339
"1958","MD02031.mzXML","LC-6142","Lauraceae","Ocotea","LC-6203","Ocotea_LC-6203","ocoLC6203",-14.1892,-68.3339
"1959","MD02032.mzXML","LC-6071","Lauraceae","Nectandra","JCS-9565","Nectandra_JCS-9565","necJCS9565",-14.1892,-68.3339
"1960","MD02033.mzXML","LC-6072","Phyllanthaceae","Hieronyma","GAT-658","Hieronyma_GAT-658","hieGAT658",-14.1892,-68.3339
"1961","MD02034.mzXML","LC-6073","Melastomataceae","Miconia","dolichorrhyncha","Miconia_dolichorrhyncha","mic1dol",-14.1892,-68.3339
"1962","MD02035.mzXML","LC-6143","Primulaceae","Geissanthus","ambigua","Geissanthus_ambigua","geiamb",-14.1892,-68.3339
"1963","MD02036.mzXML","LC-6160","Lauraceae","Ocotea","AEC-147","Ocotea_AEC-147","ocoAEC147",-14.1892,-68.3339
"1964","MD02037.mzXML","LC-6098","Sapindaceae","Matayba","arborescens","Matayba_arborescens","mat1arb",-14.1892,-68.3339
"1965","MD02038.mzXML","LC-6216","Simaroubaceae","Simarouba","amara","Simarouba_amara","sim1ama",-14.1892,-68.3339
"1966","MD02039.mzXML","LC-6213","Burseraceae","Dacryodes","sudyungasensis","Dacryodes_sudyungasensis","dacsud",-14.1892,-68.3339
"1967","MD02040.mzXML","LC-6161","Elaeocarpaceae","Sloanea","tuerckheimii","Sloanea_tuerckheimii","slotue",-14.1892,-68.3339
"1968","MD02041.mzXML","LC-6158","Euphorbiaceae","Alchornea","glandulosa","Alchornea_glandulosa","alcgla",-14.1892,-68.3339
"1969","MD02042.mzXML","LC-6060","Euphorbiaceae","Mabea","macbridei","Mabea_macbridei","mabmac",-14.1892,-68.3339
"1970","MD02043.mzXML","LC-6247","Chrysobalanaceae","Hirtella","triandra","Hirtella_triandra","hir2tri",-14.1892,-68.3339
"1971","MD02044.mzXML","LC-6211","Proteaceae","Panopsis","yungasensis","Panopsis_yungasensis","panyun",-14.1892,-68.3339
"1972","MD02045.mzXML","LC-6157","Clusiaceae","Tovomita","obovata","Tovomita_obovata","tovobo",-14.1892,-68.3339
"1973","MD02046.mzXML","LC-5994","Aquifoliaceae","Ilex","petiolaris","Ilex_petiolaris","ilepet",-14.1892,-68.3339
"1974","MD02047.mzXML","LC-6123","Euphorbiaceae","Mabea","anadena","Mabea_anadena","mabana",-14.1892,-68.3339
